soi_line_type_id,soi_ordered_quantity,soi_quantity_invoiced,soi_quantity,soi_line_id,soi_org_id,soi_header_id,soi_ordered_item,soi_item_key,soi_invoice_date,soi_line_net_sales_functional,soi_line_net_sales_corp,soi_line_total_cost_functional,soi_line_total_cost_corp,soi_line_prime_cost_func,soi_line_prime_cost_corp,soi_dsn,soi_customer_key,soi_ucortp,soi_invoice_number,soi_order_number,soi_order_type_id,soi_order_status,soi_lob_l1_key,soi_lob_l2_key,soi_em_key,soi_brand_franchise_product,soi_price_level_code,soi_code_desc,soi_location_code,soi_location_name,soi_location_name_city_state,soi_discount_multiplier,soi_operational_revenue,soi_operational_revenue_corp,soi_operational_prime_cost,soi_operational_prime_cost_corp,soi_operational_standard_cost,soi_operational_standard_cost_corp,soi_grosssaleslocal,soi_grosssalescorp,soi_totaldiscountlocal,soi_totaldiscountcorp,itm_item_key,itm_organization_id,itm_item.description,itm_item.number,itm_user.item.type,itm_brand_franchise_product,itm_price_group,itm_dsn,cust_customer_id,cust_customer_name,cust_customer_number,cust_customer_key,cust_customer_type,cust_city,cust_postal_code,cust_state,cust_country,cust_internal_customer_flag,cust_dsn,cust_bmsreceivabletypecode,cust_primary.segment,cust_bmspricematrixname,cust_bmsdefaultpricelevel,org_name,org_code,org_division,org_org6...branch,ord_typ_order_type_id,ord_typ_order_type,eng_em_key
3,1,1,1,2407,22,1155,715,922,447,3217,3217,2642,2642,2642,2642,4,2808,23,16429,126400,30,1,33,30,-1,16,12,8,1,6,6,0,3217,3217,2642,2642,2642,2642,2642,2642,0,0,922,4,367,715,581,11,5,4,2807,257,2794,2808,18,915,1265,8,2,1,4,17,20,65,9,7,22,4,2,30,37,-1
2,1,1,1,28553,32,14435,1961,2560,17,21548.77,21548.77,19321,19321,19321,19321,4,280,30,59812,169410,38,1,37,34,-1,17,11,7,806,7,7,0,21548.77,21548.77,19321,19321,19321,19321,19321,19321,0,0,2560,4,1534,1961,924,11,5,4,280,2068,266,280,2,854,391,51,2,1,4,2,20,79,20,8,32,4,4,38,5,-1
2,1,1,1,16840,20,7578,252,321,688,562660,562660,483887.6,483887.6,483887.6,483887.6,3,2049,29,2930,2159,37,1,10,29,-1,16,1,7,80,25,25,0,562660,562660,483887.6,483887.6,483887.6,483887.6,483887.6,483887.6,0,0,321,3,1215,252,794,11,5,3,2049,2174,2036,2049,18,551,1795,6,2,1,3,17,20,81,21,25,20,3,25,37,27,-1
3,1,1,1,14211,7,6096,1175,1559,1029,625.62,625.62,0,0,0,0,2,3036,1,72183,96814,2,1,1,28,-1,16,3,1,26,15,15,0,625.62,625.62,0,0,0,0,0,0,0,0,1559,2,1808,1175,420,11,5,2,3035,258,3022,3036,8,272,109,46,2,1,2,8,10,68,5,15,7,2,15,2,41,-1
3,1,0,0,20948,20,9980,106,136,352,0,0,0,0,0,0,3,21,31,6533,4804,39,1,11,29,-1,16,3,1,80,25,25,0,0,0,0,0,0,0,0,0,0,0,136,3,1801,106,877,11,5,3,21,1023,7,21,18,283,303,12,2,1,3,17,20,77,21,25,20,3,25,39,32,-1
2,1,1,1,20670,20,9860,1826,2404,169,461.44,461.44,415.3,415.3,415.3,415.3,3,2413,29,6259,4669,37,1,10,33,-1,17,5,3,80,25,25,0,461.44,461.44,415.3,415.3,415.3,415.3,415.3,415.3,0,0,2404,3,1323,1826,797,11,5,3,2412,2371,2400,2413,18,752,1385,24,2,1,3,17,20,81,21,25,20,3,25,37,27,-1
3,3,3,3,20551,20,9802,1064,1367,262,76.8,76.8,57.6,57.6,57.6,57.6,3,2846,1,6322,4602,3,1,1,29,-1,16,3,1,80,25,25,0,76.8,76.8,57.6,57.6,57.6,57.6,96,96,38.4,38.4,1367,3,1277,1064,795,11,18,3,2845,1522,2832,2846,14,886,1651,29,2,1,3,13,20,5,21,25,20,3,25,3,41,-1
3,2,2,2,33930,32,17864,1240,1670,498,2694,2694,2694,2694,2694,2694,4,1014,37,76788,179809,48,1,42,30,-1,16,1,7,806,7,7,0,2694,2694,2694,2694,2694,2694,2694,2694,0,0,1670,4,1782,1240,878,11,5,4,1014,705,1000,1014,9,917,1573,29,2,2,4,9,20,10,1,8,32,4,4,48,35,-1
2,1,1,1,33724,32,17732,1961,2560,491,39225.88,39225.88,34518.77,34518.77,34518.77,34518.77,4,731,26,76634,179426,34,1,35,34,-1,17,11,7,806,7,7,0,39225.88,39225.88,34518.77,34518.77,34518.77,34518.77,34518.77,34518.77,0,0,2560,4,1534,1961,924,11,5,4,731,952,717,731,18,15,776,23,2,1,4,17,20,79,20,8,32,4,4,34,6,-1
3,5,5,5,11961,7,5136,592,762,66,237.5,237.5,150,150,150,150,2,115,1,65839,93231,2,1,1,28,-1,16,4,2,26,15,15,0,237.5,237.5,150,150,150,150,250,250,100,100,762,2,1274,592,795,11,18,2,115,38,101,115,8,644,1681,18,2,1,2,8,20,19,5,15,7,2,15,2,41,-1
