"","soi_ordered_quantity","soi_line_net_sales_functional","soi_line_total_cost_functional","soi_line_prime_cost_corp","soi_ucortp","soi_lob_l2_key","soi_code_desc","soi_location_code","soi_totaldiscountlocal","soi_totaldiscountcorp","itm_item_key","itm_organization_id","cust_customer_id","cust_customer_number","cust_customer_key","cust_dsn","cust_bmsreceivabletypecode","eng_em_key"
"714",1,3529,3342,3342,1,28,1,26,-3342,-3342,529,2,3021,3008,3022,2,8,-1
"715",1,530,477,477,15,30,7,806,0,0,2961,4,712,698,712,4,17,-1
"716",1,0,0,0,42,30,7,1,0,0,1982,4,1269,1255,1269,4,17,-1
"717",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"718",1,487.52,477,477,1,28,1,26,-477,-477,2956,2,3035,3022,3036,2,8,-1
"719",1,32875,29587.5,29587.5,29,29,7,80,0,0,857,3,2245,2233,2246,3,17,-1
"720",1,3520,3041,3041,43,30,7,1,0,0,1185,4,1433,1419,1433,4,17,-1
"721",1,52.36,40.8,40.8,7,30,7,100,0,0,768,4,2807,2794,2808,4,17,-1
"722",1,77941.18,70147.06,70147.06,29,29,7,80,0,0,680,3,2412,2400,2413,3,17,-1
"723",1,7789,5976,5976,7,30,2,806,0,0,1217,4,252,238,252,4,17,-1
"724",1,104151.4,91653.23,91653.23,36,34,7,806,0,0,2533,4,1022,1008,1022,4,9,-1
"725",1,3743.01,3481,3481,1,29,1,80,-3481,-3481,1765,3,2845,2832,2846,3,13,-1
"726",1,561.48,477,477,21,29,4,80,318,318,2959,3,2756,2743,2757,3,17,-1
"727",1,932.75,932.75,932.75,29,33,3,80,0,0,2397,3,2143,2130,2144,3,17,-1
"728",1,1603,1442,1442,19,30,7,1,0,0,1437,4,509,495,509,4,17,-1
"729",1,6715,5502,5502,1,28,5,26,-5502,-5502,1165,2,2219,2207,2220,2,12,-1
"730",1,8516,6492,6492,10,30,7,806,0,0,407,4,1505,1491,1505,4,17,-1
"731",1,2912.05,2500,2500,1,28,1,26,-2500,-2500,598,2,1116,1102,1116,2,5,-1
"732",1,3529,3342,3342,1,28,1,26,-3342,-3342,529,2,3044,3031,3045,2,8,-1
"733",1,6548.51,5002.52,5002.52,42,30,7,1,0,0,3076,4,296,282,296,4,2,-1
"734",1,0,0,0,26,34,7,806,0,0,2560,4,434,420,434,4,17,-1
"735",12,54.96,41.16,41.16,43,30,1,100,0,0,730,4,2807,2794,2808,4,17,-1
"736",1,0,0,0,1,29,6,4,6450,6450,1129,3,2959,2945,2960,3,10,-1
"737",1,0,0,0,26,34,7,806,0,0,2560,4,283,269,283,4,17,-1
"738",1,4888,3631,3631,31,29,1,80,2479,2479,1200,3,21,7,21,3,17,-1
"739",1,594.34,557,557,1,28,1,26,-557,-557,1559,2,3035,3022,3036,2,8,-1
"740",1,0,0,0,29,29,7,80,0,0,2716,3,2702,2690,2703,3,17,-1
"741",1,109464.6,98518.14,98518.14,36,34,2,806,0,0,2535,4,1022,1008,1022,4,9,-1
"742",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"743",1,99.96,58.8,58.8,43,30,7,1,45.86,45.86,403,4,1837,1824,1837,4,6,-1
"744",1,1239,1065,1065,30,34,7,1,0,0,3078,4,247,233,247,4,2,-1
"745",12,50.4,37.8,37.8,23,30,1,100,0,0,729,4,2807,2794,2808,4,17,-1
"746",1,12970.5,11167,11167,26,34,7,806,0,0,2560,4,312,298,312,4,2,-1
"747",1,0,0,0,1,29,6,40,8710,8710,143,3,2959,2945,2960,3,10,-1
"748",-1,-48265,-41571,-41571,30,34,7,806,0,0,2560,4,296,282,296,4,2,-1
"749",1,3393,2782,2782,41,30,7,806,0,0,927,4,2807,2794,2808,4,17,-1
"750",1,20.13,17.4,17.4,1,27,4,3,14.79,14.79,362,1,2709,2697,2710,1,17,-1
"751",1,2579,1817,1817,27,34,7,806,0,0,3078,4,280,266,280,4,2,-1
"752",1,619,557,557,15,30,7,806,0,0,2961,4,650,636,650,4,17,-1
"753",1,427.51,0,0,1,28,1,26,0,0,2937,2,3035,3022,3036,2,8,-1
"754",1,7607,5862,5862,31,29,4,90,2848,2848,143,3,3108,3095,3109,3,17,-1
"755",1,9093,8508,8508,19,30,7,806,0,0,1748,4,801,787,801,4,2,-1
"756",1,0,0,0,29,29,7,80,0,0,2703,3,2830,2817,2831,3,17,-1
"757",2,77.9,49.2,49.2,1,28,2,26,32.8,32.8,659,2,2449,2437,2450,2,8,-1
"758",1,4587,3522,3522,8,30,7,1,0,0,1181,4,923,909,923,4,17,-1
"759",1,4319.81,3671.84,3671.84,26,34,7,806,0,0,3078,4,2116,2103,2117,4,17,-1
"760",1,101002,88821.16,88821.16,36,34,7,806,0,0,2533,4,1022,1008,1022,4,9,-1
"761",1,0,0,0,1,28,4,26,0,0,2570,2,2962,2948,2963,2,8,-1
"762",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"763",-1,-2870,-2011.46,-2011.46,30,34,7,806,0,0,3078,4,135,121,135,4,17,-1
"764",1,6023.6,3450,3450,10,30,7,1,0,0,1121,4,1328,1314,1328,4,17,-1
"765",1,12176.65,12177,12177,1,29,2,1,-12177,-12177,2008,3,2926,2912,2927,3,9,-1
"766",1,2995.08,2652.96,2652.96,30,34,7,1,0,0,3078,4,582,568,582,4,17,-1
"767",1,31545.6,27760.13,27760.13,36,34,7,806,0,0,2533,4,1022,1008,1022,4,9,-1
"768",1,166654.8,143323.13,143323.13,36,34,7,806,0,0,2533,4,59,45,59,4,9,-1
"769",1,1000,0,0,11,34,7,806,0,0,210,4,324,310,324,4,17,-1
"770",1,17663,15896.7,15896.7,29,29,3,80,0,0,557,3,2948,2934,2949,3,17,-1
"771",1,30250,25878.88,25878.88,36,34,7,806,0,0,2533,4,1001,987,1001,4,9,-1
"772",6,31.8,27.24,27.24,23,30,1,100,0,0,298,4,2807,2794,2808,4,17,-1
"773",1,3520,3041,3041,6,30,7,1,0,0,1185,4,174,160,174,4,17,-1
"774",1,0,0,0,26,34,7,806,0,0,2560,4,135,121,135,4,17,-1
"775",1,2017.02,1653.96,1653.96,26,34,7,806,0,0,3078,4,670,656,670,4,17,-1
"776",1,0,0,0,30,34,7,1,0,0,2560,4,1648,1633,1648,4,2,-1
"777",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"778",1,3824,2811,2811,41,30,7,1,0,0,918,4,1323,1309,1323,4,17,-1
"779",1,10316.36,9078.4,9078.4,30,34,7,806,0,0,3078,4,590,576,590,4,17,-1
"780",1,32,24,24,21,29,1,80,16,16,1380,3,2401,2389,2402,3,17,-1
"781",9,62.37,53.46,53.46,23,30,1,100,0,0,215,4,2807,2794,2808,4,17,-1
"782",1,0,0,0,26,34,7,806,0,0,3078,4,752,738,752,4,17,-1
"783",1,3104,2716,2716,45,30,7,1,1811,1811,1775,4,1651,1636,1651,4,17,-1
"784",1,24546,21600.48,21600.48,36,34,7,806,0,0,2533,4,1010,996,1010,4,9,-1
"785",1,32.24,19.42,19.42,31,29,4,80,12.82,12.82,51,3,1580,1566,1580,3,17,-1
"786",2,68,40.8,40.8,7,30,7,1,0,0,378,4,1290,1276,1290,4,17,-1
"787",2,15.7,13.46,13.46,41,30,7,100,0,0,255,4,2807,2794,2808,4,17,-1
"788",1,5649,4390,4390,43,30,7,1,0,0,1271,4,1505,1491,1505,4,17,-1
"789",1,7989.59,6791,6791,1,28,1,26,-6791,-6791,1710,2,1875,1863,1875,2,8,-1
"790",1,0,0,0,30,34,7,806,0,0,2560,4,296,282,296,4,2,-1
"791",1,7789,5976,5976,43,30,8,1,0,0,1215,4,252,238,252,4,17,-1
"792",1,32559,28651.92,28651.92,36,34,7,806,0,0,2533,4,1010,996,1010,4,9,-1
"793",1,2751,2668,2668,37,30,7,806,0,0,955,4,1014,1000,1014,4,9,-1
"794",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"795",1,7622,5967,5967,7,30,2,806,0,0,1217,4,677,663,677,4,17,-1
"796",1,10397.67,8838,8838,1,28,1,26,-8838,-8838,2014,2,3035,3022,3036,2,8,-1
"797",1,189,161.4,161.4,45,30,7,1,0,0,1771,4,1199,1185,1199,4,17,-1
"798",1,70064.28,60921,60921,29,33,3,80,0,0,630,3,2650,2638,2651,3,17,-1
"799",1,7185,6464.66,6464.66,22,34,7,1,0,0,2560,4,1237,1223,1237,4,2,-1
"800",1,4665,3406,3406,31,29,1,80,2314,2314,1171,3,2174,2161,2175,3,17,-1
"801",1,1600,1377,1377,26,34,7,806,0,0,3078,4,247,233,247,4,2,-1
"802",1,33,19.8,19.8,41,30,7,100,0,0,361,4,1679,1664,1679,4,17,-1
"803",1,240100,208887,208887,29,29,7,80,0,0,1244,3,2256,2244,2257,3,17,-1
"804",1,7336,5337,5337,41,30,7,1,0,0,1114,4,1352,1338,1352,4,17,-1
"805",1,4169,3439,3439,15,30,7,1,0,0,1797,4,712,698,712,4,17,-1
"806",1,5000,0,0,30,34,7,806,0,0,2463,4,926,912,926,4,9,-1
"807",1,8994,6553,6553,31,29,4,80,2157,2157,143,3,2198,2186,2199,3,17,-1
"808",1,6157.74,3997,3997,31,29,8,80,2123,2123,1186,3,2041,2028,2041,3,17,-1
