,ï..creation_date,line_number,quantity,org_id,ITEM_KEY,invoice_date,Line.Net.Sales...Local,Line.Net.Sales,map_transactional,line_total_cost_functional,line_total_cost_corp,Line.Prime.Cost...Local,Line.Prime.Cost,corp_exch,map_corp_exch,functionalcurr,Line.Gross.Sales...Local,Line.Gross.Sales,Line.Total.Discount...Local,Line.Total.Discount,transactionalcurrency,standardpricelistcurr,dsn,CUSTOMER_KEY,service_type,invoice_number,ORDER_NUMBER,ORDER_TYPE_ID,SourceTable,ORDER_STATUS,Serial_Number,EM_KEY,Operational_Revenue,Operational_Revenue_Corp,Operational_Prime_Cost,Operational_Prime_Cost_corp,Operational_standard_cost,Operational_standard_cost_Corp,BMS.Project.Number,BMS.Order.Type.Code,Item.Number,Item.Description,User.Item.Type,BRAND_FRANCHISE_PRODUCT,ECC,ECC.Engine.Model,ECC.Engine.Range,SEGMENT_TYPE,Print.Part.Number,Long.Part.Number,Filtration.Prod.Class,Filtration.Prod.Group,Filtration.Prod.Family,PVC.Code,ECC.Code.Major,ECC.Code.Minor,SPC.Code.Major,SPC.Code.Interm,SPC.Code.Minor,Brand.Major,Brand.Minor,WPT.Major,WPT.Minor,VENDOR_ITEM.,PRICE_GROUP,Displacement.Liters,CUSTOMER_NAME,CUSTOMER_NUMBER,CUSTOMER_TYPE,POSTAL_CODE,STATE,COUNTRY,INTERNAL_CUSTOMER_FLAG,BMS.Receivable.Type.Code
23050,1,1,1,127,2863,78,3063.02,3063.02,4780.0,2868.0,2868.0,2868.0,2868.0,1.0,1.0,2,4780.0,4780.0,1912.0,1912.0,2,2,12,2396,2,65,90218,89,2,2,6381.0,-1,3063.02,3063.02,2868.0,2868.0,2868.0,2868.0,13595,1,1528,2791,936,26,18,4,2,1,682,683,10,7,5,17,3,1,11,15,14,3,2,4,5,560,16,1,2824,2353,6,1004,46,3,1,6
943,1,3,1,72,2296,21,513.0,513.0,935.0,477.0,477.0,477.0,477.0,1.0,1.0,2,935.0,935.0,458.0,458.0,2,2,8,4005,2,64827,312989,8,2,2,1604.0,-1,513.0,513.0,477.0,477.0,477.0,477.0,13595,1,1339,2626,1136,26,18,4,2,1,518,519,10,7,5,17,3,1,2,2,2,3,2,4,5,404,16,1,1129,3953,27,816,30,3,1,27
25543,1,1,1,162,4119,71,80.0,80.0,315.68,790.0,776.4,790.0,776.4,1.0,1.0,2,294.76,292.72,0.0,0.0,2,2,12,1301,1,4564,2095216,89,1,1,4241.5,-1,80.0,80.0,0.0,0.0,0.0,0.0,13595,1,2177,2843,1077,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,16,1,3250,1264,3,1647,48,3,1,3
7468,1,5,1,204,2901,16,4152.09,4152.09,5435.0,3696.0,3696.0,3696.0,3696.0,1.0,1.0,2,5435.0,5435.0,1739.0,1739.0,2,2,13,626,2,40211,266292,90,2,2,4737.0,-1,4152.09,4152.09,3696.0,3696.0,3696.0,3696.0,13595,1,1541,2794,1136,26,18,4,2,1,695,696,10,7,5,17,3,1,11,15,14,3,2,4,5,573,16,1,2226,593,5,631,48,3,1,5
7187,1,1,1,151,1329,16,3057.0,3057.0,315.68,2037.0,2037.0,2037.0,2037.0,1.0,1.0,2,2037.0,2037.0,0.0,0.0,2,2,12,1199,2,4661,140717,89,2,2,1252.0,-1,3057.0,3057.0,2037.0,2037.0,2037.0,2037.0,13595,1,730,508,935,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,6,1,2214,1163,6,911,18,3,1,6
691,1,1,-1,83,5341,1,-2588.24,-2588.24,315.68,-2200.0,-2200.0,-2200.0,-2200.0,1.0,1.0,2,-2200.0,-2200.0,0.0,0.0,2,2,8,4025,2,17609,1101038,73,2,2,4241.5,-1,-2588.24,-2588.24,-2200.0,-2200.0,-2200.0,-2200.0,69089,1,2970,2890,1833,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,16,1,1707,3973,27,1054,5,3,1,27
2980,1,1,1,116,2840,2,6612.0,6612.0,10060.56,5522.0,5522.0,5522.0,5522.0,1.0,1.0,2,10060.56,10060.56,4538.56,4538.56,2,2,11,1153,2,95648,300300,88,2,2,3321.0,-1,6612.0,6612.0,5692.0,5692.0,5692.0,5692.0,13595,1,1523,1455,1336,26,18,4,2,1,677,678,10,7,5,17,3,1,11,15,14,3,2,4,5,555,16,1,176,1117,27,170,3,3,1,27
27669,1,33,0,116,2886,65,0.0,0.0,4765.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0.0,0.0,0.0,0.0,2,2,11,1153,2,664,305883,88,2,2,4241.5,-1,0.0,0.0,0.0,0.0,0.0,0.0,13595,1,1535,1469,1336,26,18,4,2,1,689,690,10,7,5,17,3,1,11,15,14,3,2,4,5,567,16,1,176,1117,27,170,3,3,1,27
8396,1,2,1,151,2320,17,599.0,599.0,1092.0,557.0,557.0,557.0,557.0,1.0,1.0,2,1092.0,1092.0,535.0,535.0,2,2,12,921,2,4835,140259,129,2,2,2563.0,-1,599.0,599.0,557.0,557.0,557.0,557.0,13595,1,1341,2627,1871,26,18,4,2,1,520,521,10,7,5,17,3,1,11,15,14,3,2,4,5,406,16,1,3070,886,6,187,16,3,1,6
26530,1,2,1,151,3640,56,17750.0,17750.0,315.68,14423.79,14423.79,14423.79,14423.79,1.0,1.0,2,14423.79,14423.79,0.0,0.0,2,2,12,4292,2,7399,141560,76,2,2,4241.5,-1,17750.0,17750.0,14423.79,14423.79,14423.79,14423.79,10702,1,1898,1880,949,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,6,1,4124,4238,6,1749,59,3,1,6
